ID,Task,Main Role,Starter List,Primary Ownership,Secondary Ownership,Contributor,Related WCAG SC,Level of related WCAG SC
ANM-017,Sign language interpretation is provided for all prerecorded audio content in synchronized media.,Author,"",Content Authoring,User Experience (UX) Design,none,1.2.6,AAA
ANM-018,Extended audio description is provided for all prerecorded synchronized video content when pauses in foreground audio are insufficient to allow audio descriptions to convey the sense of the video.,Author,"",Content Authoring,User Experience (UX) Design,none,1.2.7,AAA
ANM-019,Text alternatives are provided for all prerecorded audio and video files.,Author,"",Content Authoring,User Experience (UX) Design,none,1.2.8,AAA
ANM-020,Brief descriptions summarizing multimedia content are provided in close proximity to the audio and video files.,Design,"",User Experience (UX) Design,Content Authoring,none,1.2.8,AAA
ANM-021,Live transcripts are provided for all audio content happening in real-time.,Author,"",Content Authoring,User Experience (UX) Design,none,1.2.9,AAA
ANM-022,Multimedia player controls are provided to turn sound on and off.,Design,"",User Experience (UX) Design,none,none,1.4.2,A
ANM-023,Volume controls for page-level multimedia files are independent from general computer audio controls.,Development,"",Front-End Development,User Experience (UX) Design,none,1.4.2,A
ANM-024,Volume controls for page-level multimedia files are visually located at the top of the page.,Design,"",User Experience (UX) Design,none,none,1.4.2,A
ANM-025,Audio content that automatically starts on page load lasts no longer than 3 seconds.,Development,"",Front-End Development,User Experience (UX) Design,none,1.4.2,A
ANM-026,Prerecorded or live video content is not set to auto-play.,Design,"",User Experience (UX) Design,none,none,1.4.2,A
ANM-027,Prerecorded audio-only background sounds can be controlled by the user.,Design,"",User Experience (UX) Design,Front-End Development,none,1.4.7,AAA
ANM-028,"Prerecorded audio-only speeches contain no background sound, or if they do, must be at least 20 decibels lower than the foreground speech content.",Author,"",Content Authoring,none,none,1.4.7,AAA
ANM-029,Multimedia player controls can be fully operated using only the keyboard.,Development,"",Front-End Development,User Experience (UX) Design,none,2.1.1,A
ANM-030,Multimedia player controls are provided to pause or play the multimedia file.,Design,"",User Experience (UX) Design,none,none,2.2.2,A
ANM-031,Timing is not an essential part of the event or activity presented by the content.,Design,"",User Experience (UX) Design,Content Authoring,Business Analysis,2.2.3,AAA
ANM-032,Users are warned that more than 20 hours of inactivity could lead to data loss.,Design,"",User Experience (UX) Design,Content Authoring,none,2.2.6,AAA
ANM-033,"Content on the screen does not flash or blink more than three times in any one-second period, or the flash is below the general flash and red flash thresholds.",Design,"",Visual Design,none,none,2.3.1,A
ANM-034,Content on the screen does not flash or blink at a rate that is higher than three times in any one-second period.,Design,"",Visual Design,none,none,2.3.2,AAA
ANM-035,Animation features that create the illusion of movement are defined so that users can disable them.,Design,"",User Experience (UX) Design,Front-End Developement,none,2.3.3,AAA
ANM-036,Animation features that create the illusion of movement support prefers-reduced-motion (or other equivalent means).,Development,"",Front-End Development,User Experience (UX) Design,none,2.3.3,AAA
ANM-037,Information conveyed by multimedia player controls are programmatically announced through assistive technologies.,Development,"",Front-End Development,User Experience (UX) Design,,4.1.2,A
SCT-001,"Emoticons, emojis, ASCII art, and other non-markup language constructs are supported with equivalent text alternatives and conveyed to assistive technologies.",Design,"",User Experience (UX) Design,Content Authoring,Front-End Development,1.1.1,A
SCT-002,"Emoticons, emojis, ASCII art, and other non-markup language constructs are not used as the only way to structure content or convey information.",Design,"",User Experience (UX) Design,Front-End Development,none,1.3.1,A
SCT-003,"Proper markup is used to render emphasized, bolded text and other stylistic or presentational effects.",Development,"",Front-End Development,none,none,1.3.1,A
SCT-004,"Proper markup is used to structure quotes, blockquotes and citations.",Development,"",Front-End Development,Content Authoring,none,1.3.1,A
SCT-005,Heading markup is only used for text which acts as a section heading.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
SCT-006,Heading markup is not used for formatting effects.,Development,"",Front-End Development,none,none,1.3.1,A
SCT-007,The headings used in a page provide a logical outline for the document.,Author,x,Content Authoring,User Experience (UX) Design,none,1.3.1,A
SCT-008,The intended reading order of the content remains logical when CSS and images are turned off.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.2,A
SCT-009,The source code order reflects the intended reading order of the document.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.2,A
SCT-010,Objects that rely on shape to be properly perceived are supported with additional text information.,Design,"",User Experience (UX) Design,Visual Design,Content Authoring,1.3.3,A
SCT-011,Objects that rely on size to be properly perceived are supported with additional text information.,Design,"",User Experience (UX) Design,Visual Design,Content Authoring,1.3.3,A
SCT-012,Objects that rely on visual location to be properly perceived are supported with additional text information.,Design,"",User Experience (UX) Design,Visual Design,Content Authoring,1.3.3,A
SCT-013,Objects that rely on orientation to be properly perceived are supported with additional text information.,Design,"",User Experience (UX) Design,Visual Design,Content Authoring,1.3.3,A
SCT-014,Objects that rely on sound to be properly perceived are supported with additional text information.,Design,"",User Experience (UX) Design,Content Authoring,none,1.3.3,A
SCT-015,Mathematical formulas are marked up using MathML.,Development,"",Front-End Development,Content Authoring,none,1.4.5,AA
SCT-016,Text content in design assets such as content blocks is left-aligned in left-to-right languages.,Design,"",Visual Design,User Experience (UX) Design,none,1.4.8,AAA
SCT-017,Fully justified text can easily be changed to ragged right text with a simple action.,Design,"",User Experience (UX) Design,Front-End Development,none,1.4.8,AAA
SCT-018,The primary language used in the document is properly identified using the lang attribute.,Development,"",Front-End Development,none,none,3.1.1,A
SCT-019,The language definition of the document uses the correct value for language and locale.,Author,"",Content Authoring,none,none,3.1.1,A
SCT-020,Content passages that differ from the default are identified with the correct value for language and locale.,Author,"",Content Authoring,Front-End Development,none,3.1.2,AA
SCT-021,"Unusual words, phrases, and abbreviations are organized into a glossary.",Design,"",User Experience (UX) Design,Content Authoring,none,3.1.3,AAA
SCT-022,Unusual words found in the content are linked to their definitions in a glossary.,Design,"",User Experience (UX) Design,Content Authoring,none,3.1.3,AAA
SCT-023,Abbreviations are programmatically associated with their definition.,Development,"",Front-End Development,none,none,3.1.4,AAA
SCT-024,"Content is written in plain language using everyday words, to help users with different literacy levels and access needs.",Author,x,Content Authoring,none,none,3.1.5,AAA
SCT-027,Ideas conveyed through text are supported with illustrations or other visuals.,Design,"",Visual Design,"User Experience (UX) Design, Content Authoring",none,3.1.5,AAA
SCT-028,Content is displayed and structured in a way that makes it easier to read.,Design,"",User Experience (UX) Design,Visual Design,none,3.1.5,AAA
SCT-029,Ambiguous words are supported by a mechanism that helps users identify their specific pronunciation.,Design,"",User Experience (UX) Design,Front-End Development,Content Authoring,3.1.6,AAA
DYN-001,Fixed-position content does not fully cover focused elements.,Design,,User Experience (UX) Design,Front-End Development,Visual Design,2.4.11,AA
DYN-002,Fixed-position content does not cover any part of focused elements.,Design,,User Experience (UX) Design,Front-End Development,Visual Design,2.4.12,AA
DYN-003,Status messages are announced by assistive technologies without affecting the focus.,Design,x,User Experience (UX) Design,Front-End Development,none,4.1.3,AA
DYN-004,"Status, toast, or similar messages are programmatically determined through WAI-ARIA roles or properties, so they can be presented to assistive technology users without receiving focus.",Development,x,Front-End Development,User Experience (UX) Design,none,4.1.3,AA
